Country,Execution_Capacity_Score,Delivery_Track_Record,Infrastructure_Quality,Public_Investment_Deployment,Continuity_Risk,Anchoring_Sources,Evidence_Notes
Peru,37,35,32,35,48,WEF GCI 2019 (3.1/7 infra); TI CPI 2024 (36/100); World Bank data,Lima Metro Line 2 under construction (decades). Mining infrastructure functional. CPI 36 = high corruption. Investment ~2.5% GDP. Institutional instability (6 presidents in 5 years). Delivery capacity limited.
Philippines,36,35,30,38,45,WEF GCI 2019 (3.0/7 infra); TI CPI 2024 (34/100); World Bank data,"Build Build Build program ambitious but delivery mixed. Manila MRT overcrowded, poorly maintained. CPI 34 = high corruption. Investment ~3% GDP but absorption low. Typhoon resilience shows some crisis response capacity."
Poland,62,62,58,55,72,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (54/100); OECD data,EU-funded motorway buildout transformed connectivity. GDP grew 220% since 1989. Only EU country to avoid 2008 recession. CPI 54 = moderate corruption. Investment ~3.5% GDP with EU funds. Manufacturing hub. Delivery capacity strong for income level.
Portugal,57,55,58,42,72,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (61/100); OECD data,"EU-funded modernization. Vasco da Gama Bridge, Lisbon Metro. Renewable electricity ~87.5%. CPI 61 = moderate-low corruption. Investment ~2.5% GDP. Good delivery on EU-co-funded projects."
Qatar,72,70,82,72,62,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (58/100); IMF data,"$300B World Cup infrastructure in 12 years. 7 stadiums, Lusail city from desert, Doha Metro. Mobile internet #2 globally. CPI 58 = moderate corruption. Investment ~8% GDP (World Cup surge). Delivery excellent when oil wealth fully deployed."
Romania,46,42,42,48,58,WEF GCI 2019 (3.8/7 infra); TI CPI 2024 (46/100); EU data,EU-funded highway construction slow — still lacks complete motorway network. Nuclear capacity exists (Cernavoda). CPI 46 = moderate corruption. Investment ~3.5% with EU funds. Post-communist institutions improving but execution gaps persist.
Russia,45,48,52,42,35,WEF GCI 2019 (4.4/7 infra); TI CPI 2024 (26/100); World Bank data,Crimea Bridge built fast. Some Soviet-legacy infrastructure maintained. Nuclear technology advanced. But sanctions post-2022 devastating. CPI 26 = very high corruption. Investment ~3% GDP. Institutional capacity exists but directed toward military/regime. Declining trajectory.
Rwanda,57,65,38,65,60,WEF GCI 2019 (3.2/7 infra); TI CPI 2024 (53/100); World Bank data,Post-genocide GDP growth 7.5%/year since 1995. Life expectancy 29→70 years. 'Africa's Singapore' model. Kigali masterplan execution. CPI 53 = moderate corruption. Investment ~7% GDP. Remarkable delivery for income level. Kagame continuity enables long-term planning.
Saudi Arabia,68,70,72,72,55,WEF GCI 2019 (5.0/7 infra); TI CPI 2024 (52/100); IMF data,"Haramain HSR 450km. Riyadh Metro $22.5B completed. Vision 2030 driving massive investment. But NEOM/The Line scaled back. CPI 52 = moderate corruption. Investment ~6% GDP. High ambition, mixed execution on mega-projects. Succession risk managed but present."
Serbia,44,40,42,48,50,WEF GCI 2019 (3.6/7 infra); TI CPI 2024 (36/100); World Bank data,Belgrade-Budapest HSR under construction (Chinese-funded). Belgrade Waterfront project. CPI 36 = high corruption. Investment ~3.5% GDP. EU candidate status driving some reform. Delivery capacity limited but improving with external funding.
Singapore,92,95,95,78,95,WEF GCI 2019 (6.5/7 infra); TI CPI 2024 (83/100); World Bank LPI 2023,"GDP $516→$23,300 per capita in 35 years. World-class port, airport, housing from zero. Universal fiber broadband #1 globally. WEF infra 6th (top for city-state). LPI top tier. CPI 83 = very low corruption. Investment ~5% GDP. Near-perfect execution across all dimensions."
Slovakia,50,48,48,48,60,WEF GCI 2019 (4.0/7 infra); TI CPI 2024 (50/100); EU data,"EU-funded motorway construction (D1, R1). Nuclear power (Mochovce 3 completed). CPI 50 = moderate corruption. Investment ~3.5% with EU funds. Manufacturing hub (automotive). Delivery moderate."
Slovenia,55,48,58,45,72,WEF GCI 2019 (4.5/7 infra); TI CPI 2024 (56/100); EU data,"Small country, solid infrastructure quality. Second railway track Koper-Divaca under construction. CPI 56 = moderate corruption. EU funds supporting development. Investment ~3% GDP. Strong institutions for post-Yugoslav state."
South Africa,36,35,35,32,45,WEF GCI 2019 (3.4/7 infra); TI CPI 2024 (41/100); World Bank data,Eskom crisis — rolling blackouts for years. Medupi/Kusile power stations massively delayed and over budget. REIPPP initially successful then stalled. CPI 41 = moderate-high corruption (state capture legacy). Investment ~2% GDP. Infrastructure deteriorating.
South Korea,80,88,82,65,80,WEF GCI 2019 (5.5/7 infra); TI CPI 2024 (63/100); OECD data,"GDP $79→$5,438/capita in 29 years. KTX HSR network. Nuclear buildout 2.87→14 GWe. Semiconductor fabs built at speed. WEF infra 21st but rising. CPI 63 = moderate-low corruption. Investment ~4% GDP. Execution culture embedded in industrial policy."
Spain,59,62,62,42,68,WEF GCI 2019 (5.0/7 infra); TI CPI 2024 (60/100); OECD data,"HSR network 3,600 km (#2 globally). Impressive historical delivery. Renewable buildout strong. But 2008 crisis exposed construction bubble. CPI 60 = moderate corruption. Investment dropped post-crisis to ~2% GDP. Strong legacy capacity, recent delivery mixed."
Sri Lanka,33,35,30,32,35,WEF GCI 2019 (3.4/7 infra); TI CPI 2024 (34/100); World Bank data,Chinese-funded Colombo Port City and Hambantota Port. Some delivery via external financing. But 2022 economic collapse devastated capacity. CPI 34 = high corruption. Investment collapsed. Institutional crisis — presidency overthrown. Debt trap risk.
Sweden,80,80,85,62,90,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (85/100); OECD data,88% renewable electricity. WEF infra 3rd globally. Oresund Bridge (joint with Denmark). Northvolt battery factory. CPI 85 = very low corruption. Investment ~3% GDP. Strong delivery within Nordic institutional framework.
Switzerland,80,78,98,48,92,WEF GCI 2019 (6.1/7 infra — #1); TI CPI 2024 (82/100); OECD data,"WEF infrastructure score #1 globally. Gotthard Base Tunnel (57 km, world's longest). NEAT rail corridors. CPI 82 = very low corruption. Investment moderate ~2.5% GDP but extraordinarily efficient. Institutional quality among world's best."
Taiwan,76,80,78,62,82,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (68/100); World Bank data,TSMC fab construction speed (4-5 quarters). 10 fabs planned. Taiwan HSR 345 km. WEF infra 10th. Semiconductor dominance built over 30 years. CPI 68 = moderate-low corruption. Investment ~3.5% GDP. Excellent delivery in strategic sectors.
Thailand,51,50,52,48,55,WEF GCI 2019 (4.1/7 infra); TI CPI 2024 (36/100); World Bank data,Bangkok BTS/MRT expansion ongoing. Eastern Economic Corridor. Manufacturing hub (automotive). But delivery slowed by political instability. CPI 36 = high corruption. Investment ~3% GDP. Some capacity but institutional changes limit sustained policy.
Tunisia,37,35,38,35,42,WEF GCI 2019 (3.6/7 infra); TI CPI 2024 (40/100); World Bank data,Post-revolution institutional instability. Some French-era infrastructure maintained. Renewable potential underutilized. CPI 40 = moderate-high corruption. Investment ~2.5% GDP. Democratic experiment stalling under Saied. Pre-2011 capacity not sustained.
Turkey,54,58,55,52,48,WEF GCI 2019 (4.5/7 infra); TI CPI 2024 (34/100); World Bank data,$100B infra spend in 15 years. Istanbul Airport (80M pax). 3 major bridges. Istanbul-Izmir highway. But quality concerns and CPI 34 = high corruption. Investment ~4% GDP. Strong delivery capacity but institutional quality declining rapidly.
UAE,82,85,88,78,72,WEF GCI 2019 (5.7/7 infra); TI CPI 2024 (68/100); World Bank LPI 2023,Dubai from desert to global hub in 30 years. Barakah nuclear 4 reactors in 12 years. Etihad Rail. Mobile internet #1 globally. WEF infra 23rd but misleading (city-states skew). CPI 68 = moderate-low corruption. Investment ~6% GDP. Execution speed rivaling China in concentrated areas.
United Kingdom,53,42,65,38,72,WEF GCI 2019 (5.1/7 infra); TI CPI 2024 (71/100); OECD data,"HS2 catastrophe (scaled back, massively over budget). Crossrail 4 years late, 2x over budget. Hinkley Point C nuclear delayed, 3x budget. WEF infra 20th. CPI 71 = moderate-low corruption. Investment only ~2% GDP — chronic underinvestment. Delivery capacity in crisis."
United States,50,38,68,35,62,WEF GCI 2019 (5.4/7 infra); TI CPI 2024 (65/100); OECD data; ASCE 2021 report card,"California HSR: 16+ years, $128B, zero passengers. Can't permit a transmission line. ASCE grade C-. But existing infra quality still decent (WEF ~12th). CPI 65 = moderate-low corruption. Investment only ~2.5% GDP. Permitting paralysis, NIMBY, regulatory capture. Massive gap between wealth and delivery."
Uruguay,47,42,48,38,65,WEF GCI 2019 (3.9/7 infra); TI CPI 2024 (62/100); World Bank data,"95%+ renewable electricity (wind + hydro). Best governance in Latin America. But infrastructure modest — limited rail, road quality mixed. CPI 62 = moderate-low corruption. Investment ~2.5% GDP. Strong institutions but limited scale and resources."
Venezuela,16,15,20,12,18,WEF GCI 2019 (2.0/7 infra est.); TI CPI 2024 (13/100); IMF data,"Infrastructure collapse — power grid failing, roads deteriorating, oil production collapsed from 3.2M to <800K bpd. CPI 13 = among most corrupt globally. Investment near zero. Institutional collapse. Economic crisis ongoing since 2014."
Vietnam,57,62,45,62,58,WEF GCI 2019 (3.8/7 infra); TI CPI 2024 (37/100); World Bank data,Doi Moi reforms: GDP growth 6.37% over 40 years. Manufacturing hub emergence. Long Thanh Airport under construction. North-South expressway progressing. CPI 37 = high corruption but execution overcomes it (China model). Investment ~5% GDP. Strong delivery for income level.
