Country,Transition_Velocity_Score,Renewable_Deployment_Rate,Electrification_Trajectory,Infrastructure_Condition_Delta,Clean_Investment_Trajectory,Anchoring_Sources,Evidence_Notes
Croatia,6.0,5,3,3,2,"Ember 2024; IRENA 2025; EU Commission 2025","8.8pp 20yr gain from wind/solar additions. EU-funded infrastructure improvements. Modest EV uptake. Small clean investment but growing via EU mechanisms."
Cyprus,7.0,8,3,2,3,"Ember 2024; IRENA 2025; EU Commission 2025","10.8pp 20yr gain from solar. Growing EV adoption. Infrastructure stable. Offshore gas discoveries risk distracting from transition. Small market."
Czech Republic,13.0,12,6,5,5,"Ember 2024; IRENA 2025; EU Commission 2025; IEA GEVO 2025","5.9pp 10yr gain. Growing EV market (~6%). Nuclear expansion planned (Dukovany). EU-funded infrastructure improvements. Growing battery manufacturing FDI."
Denmark,38.0,28,18,8,12,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025; Danish Energy Agency 2025","16.4pp 10yr gain — wind power pioneer. EV share ~38% new sales. Vestas global wind leadership. Infrastructure well-maintained, energy islands planned. Strong clean investment. One of fastest transition trajectories in dataset."
Dominican Republic,3.0,5,1,0,1,"Ember 2024; IRENA 2025; World Bank 2025","3.5pp 20yr gain. Minimal EV adoption. Infrastructure static — tourism economy focus. Small clean investment. Growing solar from low base."
Ecuador,-3.0,0,-1,-3,-1,"Ember 2024; IRENA 2025; World Bank 2025","Negative 20yr delta (-4.5pp, hydro share declining vs fossil growth). No EV market. Infrastructure deteriorating — power outages, road maintenance gaps. Oil-dependent economy. Minimal clean investment."
Egypt,2.0,4,0,-1,2,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","1.86pp 10yr gain. Benban Solar Park (1.8GW, Africa's largest). No meaningful EV market. Infrastructure mixed — new capital city construction but Cairo aging. Population growth outpaces investment. Some clean investment growth."
Estonia,12.0,12,6,4,4,"Ember 2024; IRENA 2025; EU Commission 2025","17.7pp 20yr gain — strong wind/solar additions. Digital governance leader. Phasing out oil shale. EU-funded infrastructure. Growing clean investment. Small economy but fast-moving."
Ethiopia,4.0,8,0,0,1,"Ember 2024; IRENA 2025; World Bank 2025","6.6pp 10yr gain. Grand Renaissance Dam (6.45GW) is transformative. No EV market. Infrastructure improving from very low base but conflict disruption. Minimal clean investment beyond GERD."
Finland,35.0,28,15,8,10,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025; Finnish Energy 2025","20.6pp 10yr gain — fastest in dataset. Olkiluoto 3 nuclear online. Strong heat pump adoption. Infrastructure well-maintained, Nordic quality. Solid clean investment pipeline. The model for governed rapid transition."
France,18.0,10,14,6,10,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","3.7pp 10yr gain (modest, nuclear base already high). EV share ~24% new sales. Heat pump adoption growing. Nuclear fleet refurbishment. TGV infrastructure maintained. Strong clean investment — nuclear restart program."
Georgia,-2.0,-3,0,-1,0,"Ember 2024; IRENA 2025; World Bank 2025","Negative 20yr delta (-7.2pp, hydro share declining). No EV market. Infrastructure static — some EU-funded improvements but limited. Political uncertainty between EU/Russia paths. Minimal clean investment."
Germany,20.0,12,15,6,10,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","4.4pp 10yr gain (nuclear exit dragged share down). But EV share ~23% new sales. Heat pump push. Infrastructure maintained — rail/autobahn/grid. Strong industrial clean investment. Western net clean tech exporter."
Ghana,-5.0,-4,-1,-3,-1,"Ember 2024; IRENA 2025; World Bank 2025","Negative 20yr delta (-20.9pp — hydro share collapsed as demand grew). No EV market. Infrastructure degrading — grid unreliable, road maintenance poor. Minimal clean investment. Drifting toward fossil dependency."
Greece,14.0,14,6,3,5,"Ember 2024; IRENA 2025; EU Commission 2025; BNEF 2025","17pp 20yr gain — strong solar/wind additions. Growing EV adoption (~8%). Infrastructure recovering post-crisis — Athens metro expansion, grid upgrades. EU-funded clean investment growing."
Hungary,12.0,12,6,4,4,"Ember 2024; IRENA 2025; EU Commission 2025; IEA GEVO 2025","6.2pp 10yr gain. Paks II nuclear expansion. CATL/Samsung battery FDI. Moderate EV adoption. Infrastructure improving via EU funds. But declining institutional quality threatens trajectory."
Iceland,5.0,2,4,4,0,"Ember 2024; IRENA 2025; Orkustofnun 2025","Negative 10yr delta (-2.5pp) but from 80%+ base — ceiling effect. Strong EV adoption (~50% new sales). Infrastructure well-maintained. Near-zero marginal clean investment needed — already almost fully clean. Velocity limited by already being near the frontier."
India,18.0,8,8,12,10,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025; CEA India 2025","2.3pp 10yr gain (modest share change but massive absolute scale — 80GW+ solar pipeline). EV two-wheeler revolution. Massive infrastructure buildout — DFC rail corridors, metro expansion, grid additions. Rapidly growing clean investment. Scale is the multiplier."
Indonesia,8.0,10,2,4,3,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","6.25pp 10yr gain. Nickel processing for batteries growing. Minimal EV adoption but electric motorbike market emerging. Infrastructure improving — Jakarta MRT, toll roads. Some clean investment growth. Coal still dominant."
Iran,-10.0,-2,-2,-6,-4,"Ember 2024; IEA 2024; World Bank 2025","0.21pp 10yr gain (negligible). No EV market. Infrastructure deteriorating under sanctions. Grid reliability declining. Near-zero clean investment. Sanctions and institutional decay blocking any transition."
Iraq,-18.0,-4,-3,-15,-5,"Ember 2024; IEA 2024; World Bank 2025","Negative 10yr delta (-0.96pp). Negative 20yr delta (-4.2pp). No EV market. Infrastructure devastated by conflict — grid, roads, water systems in severe disrepair. Near-zero clean investment. Oil dependency absolute."
Ireland,20.0,20,10,5,8,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","11.2pp 10yr gain — strong wind buildout. EV share ~20% new sales. Data center cluster driving grid investment. Infrastructure improving — transport, broadband. Strong clean investment from tech sector and government."
Israel,14.0,16,5,4,6,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","8.8pp 10yr gain — rapid solar deployment. EV adoption growing (~15%). Infrastructure under pressure from security spending but tech-driven improvements. Clean investment growing. Desalination-powered water independence model."
Italy,10.0,7,8,2,5,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","2.4pp 10yr gain (slow). EV share ~17% new sales. Heat pump adoption moderate. Infrastructure mixed — HSR good (Frecciarossa) but southern infrastructure declining. Moderate clean investment. Industrial sophistication without deployment drive."
Japan,18.0,18,8,6,8,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025; METI 2025","10.4pp 10yr gain. Negative 20yr delta (-0.44pp) due to nuclear shutdown post-Fukushima, now reversing with restarts. EV adoption low (~3%) but hybrid/plug-in strong. Infrastructure world-class and maintained. Nuclear restart + solar driving renewed clean investment."
Jordan,8.0,10,2,2,3,"Ember 2024; IRENA 2025; World Bank 2025","12.5pp 20yr gain — fast solar deployment driven by energy import necessity. Minimal EV adoption. Infrastructure slowly improving. Clean investment growing from low base. No fossil reserves forces transition."
Kazakhstan,-4.0,-1,0,-3,-2,"Ember 2024; IRENA 2025; World Bank 2025","0.66pp 20yr gain (negligible). No meaningful EV market. Infrastructure aging — Soviet-era systems not replaced. Oil dependency overwhelming. Minimal clean investment relative to fossil sector."
Kenya,6.0,10,1,1,2,"Ember 2024; IRENA 2025; World Bank 2025; IRENA Africa 2025","6.65pp 10yr gain — geothermal and wind (Lake Turkana 310MW). M-Pesa shows digital adoption capacity. Infrastructure improving from low base. Growing clean investment but small absolute scale."
Kuwait,-12.0,-4,-2,-5,-5,"Ember 2024; IEA 2024; World Bank 2025","0.07pp 10yr gain (effectively zero). No EV market. Infrastructure stagnant — oil wealth not translating to modernization. Zero clean investment trajectory. The purest petrostate inertia."
Latvia,8.0,7,4,3,3,"Ember 2024; IRENA 2025; EU Commission 2025","10.6pp 20yr gain. Modest EV adoption. Rail Baltica project underway. EU-funded infrastructure improvements. Small clean investment but growing. Hydro/biomass base."
Lithuania,6.0,5,5,4,2,"Ember 2024; IRENA 2025; EU Commission 2025","Negative 20yr delta (-17.7pp — Ignalina nuclear closure). But recent wind/solar additions growing. EV adoption rising. Rail Baltica + infrastructure investment. Self-inflicted nuclear vulnerability now being compensated."
Luxembourg,10.0,8,10,5,3,"Ember 2024; IRENA 2025; EU Commission 2025","13.2pp 20yr gain. High EV adoption (~22% new sales). Excellent public transit (free nationwide). Infrastructure well-maintained. Limited clean investment scale but per-capita strong."
Malaysia,6.0,8,2,3,2,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","4.6pp 10yr gain. Minimal EV adoption but growing. Data center hub growth driving grid investment. Infrastructure improving — MRT expansion. Moderate clean investment. Semiconductor packaging cluster."
Mexico,3.0,5,2,-2,2,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","2.0pp 10yr gain (slow). Minimal EV adoption (~2%). Infrastructure mixed — nearshoring driving industrial construction but public infrastructure stagnant. CFE reform controversies. Some clean investment from nearshoring FDI."
Morocco,8.0,8,1,3,4,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","4.5pp 10yr gain. Noor CSP complex (580MW, world's largest concentrated solar). Africa's first HSR (TGV-based). Infrastructure improving — ports, rail, roads. Growing clean investment. Execution outpacing most neighbors."
Netherlands,32.0,26,18,6,10,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","14.4pp 10yr gain — third fastest. EV share ~32% new sales. Heat pump adoption surging. Infrastructure well-maintained but climate-adaptive spending rising (sea level). Strong clean investment. ASML semiconductor chokepoint."
New Zealand,8.0,8,5,3,3,"Ember 2024; IRENA 2025; MBIE NZ 2025","5.1pp 10yr gain. EV adoption ~12% new sales. Infrastructure maintained but isolated geography limits scale. Geothermal/hydro base stable. Moderate clean investment."
Nigeria,-10.0,-3,-2,-7,-3,"Ember 2024; IRENA 2025; World Bank 2025","1.93pp 10yr gain (negligible). Negative 20yr delta (-3.16pp). No EV market. Infrastructure severely degraded — grid unreliable, roads poor, power outages endemic. Near-zero clean investment. Oil dependency with failing infrastructure."
Norway,18.0,8,22,6,5,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025; SSB Norway 2025","3.9pp 10yr gain (from 68% base — near ceiling). But 90%+ EV sales share — global leader. Electrification of everything — ferries, construction, heating. Infrastructure well-maintained. Clean investment moderate (already clean grid). Electrification trajectory is the standout."
Oman,0.0,2,0,-1,1,"Ember 2024; IRENA 2025; World Bank 2025","1.1pp 20yr gain. No EV market. Infrastructure stable but oil-dependent. Green hydrogen ambitions (ACME/OQ projects) but not yet deployed at scale. Small clean investment starting."
Pakistan,4.0,10,0,-2,1,"Ember 2024; IRENA 2025; World Bank 2025","6.56pp 10yr gain — solar growth from low base. No meaningful EV market. Infrastructure deteriorating in many areas — floods, grid instability, deferred maintenance. Minimal clean investment. Climate vulnerability compounds everything."
Peru,0.0,3,0,-2,0,"Ember 2024; IRENA 2025; World Bank 2025","1.88pp 10yr gain (minimal). Negative 20yr delta (-4.5pp). No EV market. Infrastructure stagnant — political chaos (6 presidents in 5 years) prevents continuity. Near-zero clean investment growth."
Philippines,-4.0,-4,0,-3,-1,"Ember 2024; IRENA 2025; World Bank 2025","Negative 10yr delta (-2.0pp) and negative 20yr delta (-4.4pp) — actively regressing. Coal growth outpacing renewables. No EV market. Infrastructure improving in some areas (Manila subway) but climate damage offsets. Minimal clean investment."
Poland,14.0,14,5,4,5,"Ember 2024; IRENA 2025; EU Commission 2025; IEA GEVO 2025; BNEF 2025","7.1pp 10yr gain — wind and solar growing fast. EV adoption ~6%. Coal phasedown accelerating. EU-funded infrastructure upgrades. Battery manufacturing FDI (Intel fab planned). Growing clean investment."
Portugal,22.0,18,10,5,8,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","10pp 10yr gain; 28.3pp 20yr gain — one of strongest long-term trajectories. EV share ~20% new sales. Infrastructure improving — rail modernization, grid upgrades. Strong clean investment growth."
Qatar,-10.0,-2,-1,-3,-5,"Ember 2024; IEA 2024; World Bank 2025","0.75pp 10yr gain (negligible). No meaningful EV market. LNG infrastructure focus, not transition infrastructure. $129k PPP but zero clean tech deployment. Minimal clean investment trajectory."
Romania,5.0,4,3,3,2,"Ember 2024; IRENA 2025; EU Commission 2025","1.24pp 10yr gain (slow). EU funds driving some infrastructure improvement. Nuclear base stable. Modest EV uptake. Small clean investment but EU mechanisms growing."
Russia,-6.0,1,-1,-5,-3,"Ember 2024; IEA 2024; World Bank 2025; IRENA 2025","0.57pp 10yr gain (negligible). No meaningful EV market. Infrastructure deteriorating — sanctions limiting maintenance/modernization. Nuclear tech advanced but no renewable transition. Clean investment collapsed post-sanctions."
Rwanda,5.0,5,1,4,1,"Ember 2024; IRENA 2025; World Bank 2025","13.8pp 20yr gain. Minimal EV market but strong governance execution. Infrastructure rapidly improving from low base — roads, energy access, digital. State capacity remarkable for income level. Small clean investment but efficiently deployed."
Saudi Arabia,-4.0,2,0,-3,-2,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","0.72pp 10yr gain (negligible despite Vision 2030 rhetoric). No meaningful EV market. Infrastructure focused on mega-projects (NEOM) not transition. Oil production still expanding. Clean investment announcements exceed deployment."
Serbia,4.0,4,2,2,1,"Ember 2024; IRENA 2025; World Bank 2025","2.14pp 20yr gain. Coal-dependent but growing renewable capacity. Minimal EV adoption. Infrastructure improving via EU accession process. Small clean investment. Lithium deposit (Jadar) controversial."
Singapore,8.0,1,6,8,4,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","0.27pp 10yr gain (near zero — no land for renewables). EV adoption growing (~15% new sales). Infrastructure world-class and continuously upgraded — transit, port, digital. Clean investment into regional projects and grid imports. Velocity comes from electrification and infrastructure quality, not generation."
Slovakia,8.0,8,4,3,3,"Ember 2024; IRENA 2025; EU Commission 2025","3.96pp 10yr gain. Nuclear expansion (Mochovce 3 online). Growing EV adoption. EU-funded infrastructure improvements. Battery manufacturing FDI from Samsung. Moderate clean investment."
Slovenia,8.0,5,5,4,3,"Ember 2024; IRENA 2025; EU Commission 2025","11.8pp 20yr gain (nuclear + renewables). Moderate EV adoption. Infrastructure well-maintained for size. Nuclear base stable. Small clean investment but per-capita decent."
South Africa,-2.0,3,0,-5,-1,"Ember 2024; IRENA 2025; IEA 2024; World Bank 2025","1.72pp 10yr gain (minimal). Load shedding crisis (Eskom) — grid actively deteriorating. No meaningful EV market. Infrastructure in decline — water, grid, transport. Some clean investment growth (REIPPP program) but overwhelmed by grid crisis."
South Korea,14.0,8,10,6,8,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","4.1pp 10yr gain (slow relative to capability). EV adoption ~9% and rising (Hyundai/Kia). Infrastructure world-class — KTX, grid reliable, digital. Strong clean investment via KDB. Industrial capability far exceeds deployment speed."
Spain,16.0,12,10,6,6,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","5.24pp 10yr gain. 16.2pp 20yr gain. EV share ~14% new sales. 3600km HSR (#2 globally). Infrastructure well-maintained. Growing solar/wind investment. Strong trajectory."
Sri Lanka,-4.0,-2,-1,-5,-1,"Ember 2024; IRENA 2025; World Bank 2025","8pp 20yr gain (pre-crisis). But 2022 economic collapse devastated capacity — grid unreliable, infrastructure maintenance collapsed, clean investment frozen. Negative velocity driven by sovereign debt crisis erasing a decade of progress."
Sweden,22.0,10,16,8,8,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","4.25pp 10yr gain (from 68% base — near ceiling). EV share ~58% new sales (second only to Norway). Heat pump saturation high. Infrastructure well-maintained. Northvolt battery gigafactory. Strong clean investment."
Switzerland,14.0,10,12,8,3,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","4.72pp 10yr gain. EV share ~28% new sales. Infrastructure rated #1 globally (WEF). Heat pump adoption very high. But small clean investment growth — already clean and efficient. Velocity constrained by already being near frontier."
Taiwan,6.0,0,5,5,5,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","Negative 10yr delta (-1.15pp) and negative 20yr delta (-1.56pp) from nuclear phasedown. EV adoption growing (~8%). TSMC-driven semiconductor infrastructure world-class. Offshore wind pipeline growing. Clean investment increasing but nuclear exit dragging share backwards."
Thailand,6.0,6,3,2,3,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","3.16pp 10yr gain. Chinese-invested EV assembly hub growing (BYD, Great Wall). Infrastructure improving — BTS/MRT expansion. Moderate clean investment from FDI. Political instability limits consistent trajectory."
Tunisia,0.0,2,0,-1,0,"Ember 2024; IRENA 2025; World Bank 2025","1.34pp 20yr gain (minimal despite excellent solar potential). No EV market. Infrastructure static — post-revolution political instability prevents investment continuity. Near-zero clean investment."
Turkey,14.0,18,4,3,5,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","10.3pp 10yr gain — surprisingly strong renewable buildout. Minimal EV adoption but TOGG domestic EV launched. Infrastructure improving — Istanbul airport, bridges, dams. Growing clean investment. But institutional quality declining threatens trajectory."
UAE,28.0,16,5,12,10,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025; Masdar 2025","9.0pp 10yr gain from zero base — Barakah nuclear (5.6GW), massive solar farms. Minimal EV adoption. Infrastructure rapidly expanding — metro, airports, grid modernization. 77% of GDP now non-oil. Strong clean investment trajectory. Only petrostate with credible transition velocity."
United Kingdom,12.0,18,8,0,5,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025","10.7pp 10yr gain — strong offshore wind. EV share ~23% new sales. But infrastructure deteriorating — HS2 descoped/over budget, rail declining, water system failures. Zero on infrastructure delta. Moderate clean investment."
United States,2.0,10,6,-12,5,"Ember 2024; IRENA 2025; IEA GEVO 2025; BNEF 2025; ASCE 2025","4.4pp 10yr gain. EV share ~9%. IRA driving some clean investment. But ASCE grade C- — bridges failing, grid aging, can't build HSR, permitting dysfunction. Infrastructure decay overwhelms renewable gains. Political oscillation on climate policy. Strong negative infrastructure delta is the story."
Uruguay,30.0,28,3,3,5,"Ember 2024; IRENA 2025; World Bank 2025","61.3pp 20yr gain — the single largest renewable transformation in the dataset. 98% renewable electricity. Minimal EV adoption. Infrastructure modest but stable. Clean investment largely complete — already transitioned. The quiet success story."
Venezuela,-15.0,-5,-3,-12,-3,"Ember 2024; IEA 2024; World Bank 2025","2.25pp 20yr gain (Guri hydro) but institutional collapse destroyed everything else. Grid failing — nationwide blackouts. Infrastructure severely degraded — roads, water, power. No clean investment. Political dysfunction reversed decades of development."
Vietnam,5.0,3,2,6,2,"Ember 2024; IRENA 2025; IEA 2024; BNEF 2025","Negative 10yr delta (-0.69pp) — coal outpacing renewables despite solar boom. But strong infrastructure buildout — metro, roads, industrial zones. EV adoption emerging (VinFast). Moderate clean investment via FDI. Infrastructure velocity partly compensates for energy regression."
